Chapter,Verse,Text
1,29,"My arms and legs have grown heavy. My mouth is dry. My body is trembling, and the hair on my head stands on end."
1,30,"My Gandava bow drops from my hand, and my skin--it burns. I cannot stand still, and my mind swirls like a storm."
1,31,"Krsna, I see unfavorable signs here, and I can see nothing good in killing my own family in battle!"
1,32,"I have no desire for victory, Krsna, nor for a kingdom, nor for the joys of life. What is a kingdom to us, Krsna, and what are pleasures, or life itself?"
1,33,"It is for our kinsmen that we have desired a kingdom, pleasures, and the joys of life, these men assembled here in battle, men who are prepared to give up their lives and their fortunes."
1,34,"Our teachers, our fathers and sons, and our grandfathers as well. Uncles, fathers-in-law, grandsons, brothers-in-law, all of them our kinsmen!"
1,35,"I do not want to kill them, even if they kill me, Krsna, not for kingship over all of the three worlds, much less for the earth itself!"
1,36,"What joy would there be for us, Krsna, if we kill Dhritarashtra and his men? Evil will follow us if we kill them, even as they draw their bows against us."
1,37,"Thus it is not right for us to kill Dhritarashtra's men. They are our own kin! How can we win happiness, Krsna, if we kill our own kin?"
1,38,"Even if they themselves don't see it, blinded as they are by the greed that has destroyed their reason, it is wrong to destroy one's family and to betray one's friends."
1,39,"How could we not have the wisdom to turn away from this evil thing, since we can see that to destroy the whole family is a terrible crime?"
1,40,"If our family is destroyed, then the timeless traditional laws of the family will die too. If traditional law dies, then chaos will overwhelm the entire family. "
1,41,"If the family is overwhelmed by chaos, then the women of the family will be corrupted, and when the women are corrupted, Krsna, all social order will collapse."
1,42,"This collapse drags the family and those who destroy it down into hell, and their ancestors fall with them, since the offerings of rice and water will no longer be given."
1,43,The crimes of those who destroy the family cause the social order to collapse. They undermine the unchanging laws of caste duty and family duty.
1,44,"Krsna, we have been taught that a place in hell is saved for men who undermine family duty. This is our tradition."
1,45,"No! We are intent on committing a great evil here, driven as we are, by greed for a kingdom and for pleasures, to kill our own kinsmen!"
1,46,"If Dhritarashtra's men with all their weapons were to kill me here as I am, unarmed and unresisting, that would bring me greater peace."""
1,47,"Saying these things in the midst of a war, Arjuna sank down into his chariot seat. He dropped his bow and arrows. His mind was tormented by grief."
2,1,"Sanjaya spoke: Arjuna sat there overwhelmed by compassion, his eyes blurred and filled with tears. And then Krsna spoke these words to him:"
2,2,"Where does this weakness in you come from, Arjuna, at this time of crisis? It is not fitting in a nobleman. It does not gain you heaven. It does not bring you any honor."
2,3,"Don't give in to this impotence! It doesn't belong in you. Give up this petty weakness, this faintness of heart. You are a world conqueror, Arjuna. Stand up!"
2,4,"But how can I engage Bhisma and Drona in battle, Krsna? How can I fight them with my arrows, these two men who both deserve my devotion instead?"
2,5,"No, instead of killing my gurus, these men of great authority, it would be better for me to eat the food of a beggar here in this world. If I were to kill my gurus here, even though they seek their own ends against me, it would be like eating food smeared with blood."
2,6,"And we do not know which is the heavier burden: whether we should win the fight, or whether they should win. Dhritarashtra's men stand there, drawn up before us. If we were to kill them, we ourselves would no longer wish to live!"
2,7,"This grief that I feel seems like a sickness that strikes at my very being. I ask you, because my understanding of duty is confused. What would be better? Explain this to me clearly. I am your student. Your are my refuge. Teach me!"
2,8,"Even if I could attain unrivaled wealth on this earth and a prosperous kingdom and lordship over the gods, I still would not be able to see what might dispel this sorrow that burns my senses."
2,9,"So Arjuna, the conqueror, spoke. ""I will not fight!"" he said to Krsna, and having spoken thus, he became silent."
2,10,"O lord of the Bharatas, Krsna then responded, it seemed with a smile, as Arjuna sat there despondently between the two armies. These were his words."
2,11,"The Blessed One spoke: You grieve for those who are beyond grieving, and you talk like one with wisdom, but the truly learned grieve neither for those who have lost their lives nor for those who still have them."
2,12,"But in fact there never was a time when I did not exist, nor you, nor any of these other lords. And there never will be a time when we do not exist."
2,13,"Just as the embodied one1 experiences childhood, and youth, and old age, in this body, in the same way he enters other bodies. A wise man is not disturbed by this."
2,14,"O Arjuna, encounters with the material world induce sensations of cold and heat and pleasure and pain. They come and they go. They are impermanent. You are a Bharata! Endure them!"
2,15,"Arjuna, these sensations do not make a wise man waver, for whom pain and pleasure are the same. Such a man is fit for immortality!"
2,16,"What does not exist cannot come into existence, and what does exist cannot cease to exist, but that place where existence and nonexistence meet can be seen by those who see things as they are."
2,17,"But know that this is imperishable, this which pervades the whole world. No one can destroy what is imperishable!"
2,18,"It is said that our bodies come to an end. But they belong to an embodied one2 who is unending, who does not perish, and who is beyond all measure. For this reason, Arjuna, you should fight!"
2,19,"Whoever thinks that this one here is a killer, or who thinks that he has been killed, in both cases he is wrong. For indeed he does not kill, nor is he himself ever killed. "
2,20,"He is not born, nor does he die--in any way! Once one exists, one can never not exist! Unborn, eternal, permanent, primordial--one is not killed when the body is killed!"
2,21,"One who knows that this is imperishable and eternal, unborn and unchanging, Arjuna, how can such a person kill, or cause anyone else to kill?"
2,22,"Just as a man discards worn-out clothes and gets others that are new, so the embodied one4 discards worn-out bodies and enters others that are new."
2,23,"Weapons do not cut him, fire does not burn him, the waters do not wet him, the wind does not dry him out"
2,24,"He cannot be cut or burned, he cannot be made wet or dried out: he is unchanging, all-pervading, immovable, and eternal."
2,25,"He is called the unmanifest, the inconceivable, the immutable. Therefore, once you have understood that this is so, you should not mourn for him."
2,26,"But even if you think that he is constantly born and constantly dies, even then, Arjuna, you should not mourn for him."
2,27,"For death is certain for anyone who has been born, just as birth is certain for anyone who has died. Since this condition cannot be avoided, you should not mourn."
2,28,"The origins of all things are inaccessible to us. Here in the midst of life, Arjuna, things are accessible. But the ends of all things are also inaccessible to us. So what is there to lament?"
2,29,"It is a rare and wonderful thing when someone sees him, rare and wonderful when one speaks of him, rare and wonderful also when one hears of him. But in fact to have heard is not the same as to have known him."
2,30,"The embodied one, who dwells in the body of each of us, is completely beyond harm. Therefore, Arjuna, you should not mourn for any being whatsoever."
2,31,"Also, you should reflect upon your own caste duties. You should not get agitated. In fact, for a warrior there is nothing more noble than a just war."
2,32,"The opportunity arises by pure chance, and the doors of heaven open. O Arjuna, those warriors are happy who get the opportunity to fight such a war!"
2,33,"But if you will not participate in this just war, a war of duty, you will have abandoned your caste duty and your honor as well, and you will have won only evil for yourself."
2,34,"The whole world will talk of your permanent dishonor, and for someone of your stature dishonor is worse than death."
2,35,"These great chariot warriors will think that you have fled from the battle out of fear, and you will become a small, despised man among men who once thought highly of you!"
2,36,Your enemies will say many scandalous things and they will ridicule your competence in war. What could be more disgraceful?
2,37,"If you are killed, you will win heaven. If you are victorious, you will have the world to enjoy. Therefore, stand up, Arjuna! Don't hesitate! Fight!"
2,38,"Joy and suffering, success and failure, victory and defeat: treat them all alike. Brace yourself for battle. In this way you will avoid dishonor!"
2,39,"This insight has been presented to you in the form of Sankhya philosophy. Now hear it in the form of yoga tradition. Disciplined by this insight, Arjuna, you will escape from the bonds of action."
2,40,"Progress in yoga is never wasted, and it is never unproductive. Even a little effort in the practice of yoga saves you from the great terror of life."
2,41,"This insight based on firm resolve is unique and whole. Arjuna, men who have no resolve have poor insight. They veer endlessly in all directions"
2,42,"Some people please themselves by debating the Vedas. They recite the florid Vedic chants, but they have no insight, while ever saying that only the Vedas matter!"
2,43,In their hearts they are driven by desire and are eager for heaven. Their words promise rebirth as the fruit of their actions. Their talk is all about their elaborate rituals whose purpose is to gain pleasure and power.
2,44,"They are obsessed with pleasure and power! The words of the Vedas deprive them of good sense. They lack the insight that is based on firm resolve, and they do not gain insight even when engaged in intense concentration. "
2,45,"The world of the Vedas is the natural world with its three conditions. Arjuna, live in the world that is beyond this one, free of its conditions and dualities. Remain always within this true world, free from both the exertion for wealth and the enjoyment of it. Remain within the self. "
2,46,"As useful as a water tank is when there is flooding in all directions, that is how useful all of the Vedas are for a Brahmin who has true insight."
2,47,"Focus your mind on action alone, but never on the fruits of your actions. Your goal should never be the fruits of your actions, nor should you be attached to nonaction."
2,48,"Practice yoga and perform the actions that you are obliged to do, but, Arjuna, don't be attached to them. Treat success and failure alike. This kind of even-mindedness is called yoga."
2,49,"Arjuna, action is far inferior to the yoga of insight. Seek refuge in insight. Those whose goal is the fruits of their actions wind up miserable."
2,50,"A man who is committed to insight leaves behind both good actions and bad. Therefore, commit yourself to yoga, for yoga is skillfulness in all action."
2,51,"Those who are committed to insight, who are wise, renounce the fruit that is born of action. Freed from the bonds of rebirth, they go to a place where there is no misery."
2,52,"When your insight transcends this jungle of delusion, then you will become indifferent to what you have been taught by Vedic tradition and whatever you will be taught."
2,53,"When your insight, which has been distracted by the traditional teachings, finally stands unwavering, motionless in concentration, then you will reach yoga."
2,54,"Arjuna spoke: Krsna, how do you describe someone who is stable in this wisdom, who can stay fixed in concentration? How would such a person speak, how would he sit, how would he go about in this world?"
2,55,"The Blessed One spoke: Arjuna, when one gives up all the desires that fill the mind, when one is content with oneself in one's atman, then one is said to be stable in this wisdom."
2,56,"When bad fortune no longer disturbs his mind, and when good fortune no longer excites him, then you could call this person a sage, stable in this wisdom, in whom longing and fear and anger have vanished."
2,57,"When he feels no desire whatsoever, and no matter what good or bad happens to him, he does not delight in or hate it, such a person has wisdom that is stable."
2,58,"When he withdraws his senses from all sensuous things, like a tortoise that draws it legs into its shell, then his wisdom is stable."
2,59,"The fascination of sense objects withdraws from the embodied one who gives up food. For him, only the flavor, the trace of the flavor, lingers. And once he has seen the highest, that leaves him too."
2,60,"Arjuna, even an intelligent man who strives to control his senses can be tormented by them. They can attack him and violently seize his mind."
2,61,"He should restrain all of his senses and, committed to yoga, he should sit, intent on me. If his senses are under control, then his wisdom will be stable."
2,62,"When a man meditates on sensual objects, attachment to them develops in him, and this attachment produces desire, and this desire produces anger."
2,63,"From this anger comes delusion, and from this delusion comes the distortion of memory, and this distortion of memory leads to the loss of insight. From this, one dies."
2,64,"But when a man approaches sensual objects with his own senses detached from desire and anger, that is, when his senses are controlled by his atman, then he is in control of himself and he finds peace."
2,65,"In that peace, all of his sorrows vanish, for as soon as his thoughts become tranquil, his insight becomes steady."
2,66,"An undisciplined man has no insight. An undisciplined man has no effective power, and without this power he has no peace. And without peace how can he be happy?"
2,67,"For the senses wander, and when one lets the mind follow them, it carries wisdom away like a windblown ship on the waters."
2,68,"Therefore, great warrior, the one who has withdrawn his senses entirely from the things of the senses has steadfast wisdom"
2,69,"When it is nighttime for all creatures, the one who is self-restrained is awake. And when all others are awake, it is nighttime for that sage who sees truly. "
2,70,"Just as the waters that enter the ocean do not fill it nor do they disturb its depths, so too is the peace of the one into whom all these desires pour. The man who is driven by desire does not know such peace."
2,71,"The man who abandons all desires, who goes about free from cravings, for whom there is no talk of ""mine!"" or ""me!""--he finds peace."
2,72,"This, Arjuna, is the divine state of Brahman. Having attained this, one is no longer confused. When one abides in this state, even at the moment of death, one attains the sublime peace of Brahman. "
3,1,"Arjuna spoke: Krsna, if you think that insight is more powerful than action, then why do you urge me to engage in such a terrible action as this?"
3,2,With words that seem convoluted you have confused my mind! Please tell me the one thing I need to know to attain the highest good.
3,3,"O blameless one, long ago I taught that there are two paths to the highest good. For the followers of Sankhya, it is attained by means of the yoga of knowledge. For yogins it is attained by means of the yoga of action. "
3,4,"A man does not go beyond action by merely avoiding action, nor does he achieve spiritual success by renunciation alone."
3,5,"For no one exists even for a moment without performing actions. Even if unwillingly, every one of us must act, due to the forces of nature."
3,6,"A man can control the senses by which he acts, but if he sits while still recalling in his mind all of the attractions of the senses, then he fools himself. He is known as a hypocrite."
3,7,"But whoever controls his senses with his mind, and with all of his ability engages in the yoga of action, such a person is unattached, Arjuna. He is distinguished among men."
3,8,"You should perform the actions that you are obliged to perform, because action is better than inaction. Without action, you would not be able to maintain your body's health. It would surely fail."
3,9,"This world is in bondage to action except when it is performed as a sacrifice. You should remain unattached, Arjuna, and continue to perform action that is intended as sacrifice."
3,10,"Long ago Prajapati, the Lord of Creation, brought forth all creatures along with sacrifice, and he said, ""By means of sacrifice you will grow and multiply. Let sacrifice be your wish-fulfilling cow!"
3,11,"Make the gods flourish by means of it, and let the gods make you flourish as well! Make yourselves flourish for each other's sake. You will reach the highest good."
3,12,"For the gods will give you the things that you desire, because your sacrifices have made them flourish. Whoever enjoys their gifts without giving in return is little more than a thief."""
3,13,Good men who eat the remnants of such sacrifice are released from all guilt. But those who cook only for themselves without offering sacrifice are evil men who eat what is evil
3,14,All creatures grow because of food. Food grows because of Parjanya. Parjanya grows because of sacrifice. And sacrifice grows because of action.
3,15,"Know that action arises from Brahman and that Brahman arises from the imperishable syllable OM. Therefore, the Brahman that pervades the universe is established permanently in sacrifice. "
3,16,"So the wheel is set in motion, and whoever does not keep it turning, Arjuna, is sinful and addicted to sensual pleasures. He lives a meaningless life."
3,17,"But the man who takes pleasure only in the self, and is satisfied only with the self, and finds his contentment in the self alone--for him there is nothing at all to do!"
3,18,For him there is no purpose whatsoever in what he has done or in what he hasn't done. Nor does he depend on other creatures at all to give purpose to his life.
3,19,"Therefore, continue to do any action that you are obliged to do, but always without attachment. By continuing to act without attachment, a man attains the highest good."
3,20,"Janaka and the other ancient kings attained complete success by means of action alone. You too should act, Arjuna, while pursuing only the protection of the world."
3,21,"Whatever the best among us does, the rest will also do. The world always follows the standard that the best among us sets."
3,22,"Arjuna, there is nothing whatsoever that I need to do in any of the three worlds, heaven, air, and earth. There is nothing to gain that I have not already gained, and yet I am still engaged in action."
3,23,"If I myself did not engage in action relentlessly at every moment, Arjuna, all mankind would surely follow in my path."
3,24,"All these worlds would collapse if I myself did not perform my work. I would thus become an agent of caste confusion, and I would wind up destroying all of these creatures."
3,25,"Just as the ignorant who are attached to their actions continue to act, so the man of knowledge also acts, though without attachment, since he pursues the protection of the world."
3,26,"The man of knowledge should not confuse the understanding of the ignorant who are attached to action. Like one disciplined in yoga, he should let them take pleasure in their actions."
3,27,"Actions are performed at all times as a result of the three conditions of nature. The man whose self is deluded because of his egotism thinks, ""I am the actor."""
3,28,"But when he truly understands the difference between action and the conditions of nature, then, Arjuna, he thinks, ""These conditions arise from other conditions."" He is not attached to them"
3,29,People who are confused about the conditions of nature are attached to them and to the actions that follow from them. One who knows the whole truth should not upset the slow-witted ones who know only a part.
3,30,"Surrender all your actions to me, and fix your mind on your inmost self. Become free from desire and possessiveness. Cast off this fever and fight!"
3,31,"Men who always follow this teaching of mine, confident in it and not disputing it, are freed from their actions."
3,32,"But know that those who dispute my teaching and do not follow it--they misunderstand all knowledge, they are senseless, they are lost!"
3,33,One behaves according to one's own nature--even the one who knows his nature! All creatures follow their own nature. No one can stop that!
3,34,"Attraction and aversion await every single object of the senses. One should not come under their control, for they are bandits lying in waiting."
3,35,One's own duty done poorly is better than another's duty done well. It is better to die engaged in one's own duty. Taking on another's duty is dangerous
3,36,"Arjuna spoke: Then what makes a man commit evil against his own will, Krsna, as if driven to it by force?"
3,37,"The Blessed One spoke: It is desire, it is anger, and it arises from the condition of passion. It is an all-consuming mouth and a great evil. Know that this is the enemy!"
3,38,"As the fire is obscured by smoke and the mirror by stains, as the embryo is enveloped by the membrane, so this world is obscured by that desire."
3,39,"And knowledge is obscured by it as well, Arjuna! That perpetual enemy of the wise man takes the form of desire and is an insatiable fire."
3,40,"The senses, the mind, insight--these are its foundation. By means of them desire confuses the embodied self and obscures knowledge."
3,41,"Therefore, Arjuna, you must control the senses first, and then strike down that evil that destroys knowledge and discrimination."
3,42,"They say that the senses are superior to sense objects, but truly the mind is superior to the senses. And indeed insight is superior to the mind. But there is the one who is superior even to insight."
3,43,"Gain insight into this one who is beyond insight, and find the stability of the self by means of the self. O Arjuna, strike the enemy who takes the form of desire and is formidable."
4,1,"The Blessed One spoke: I taught this eternal yoga tradition to Vivasvat, the god of the sun. Vivasvat taught it to Manu, the Father of mankind. Manu himself taught it to Iksvaku, the first king."
4,2,"The royal seers knew this tradition, which was handed down from one to the other, but after a long passage of time, Arjuna, it became lost."
4,3,"This ancient yoga tradition is what I teach to you today, for you are my devotee and my friend, and this is the deepest of mysteries."
4,4,Arjuna spoke: Vivasvat's birth occurred a long time ago. You were born much later. How should I understand what you mean when you say that you taught this teaching in the beginning?
4,5,"The Blessed One spoke: I have passed through many births, and so have you, Arjuna. But I can recall them all, whereas you, Arjuna, cannot."
4,6,"I am unborn, and my self is eternal, and I am the lord of all beings. Nevertheless, I take part in nature and I manifest myself by means of my own power. "
4,7,"Whenever religious duty wanes, Arjuna, and its opposite, chaos, waxes strong, then I release myself into the world"
4,8,"In age after age, I manifest myself in order to protect the virtuous, to destroy those who do harm, and to reestablish religious duty."
4,9,"The one who truly knows that my birth and my action are divine does not return for another birth, when he abandons the body at death. Arjuna, he returns to me!"
4,10,Many people have been purified by the fire of knowledge. They no longer feel passion or fear or anger. They belong to me and take their refuge in me. In the end they all come to me.
4,11,"Those who come to me, no matter how they do so--I grant them my grace. Arjuna, all men universally follow my path."
4,12,"They hope for success in their actions, so they sacrifice here to the gods, because here in the world of mankind success comes quickly from acts of sacrifice."
4,13,"I created the four castes of the world, distinguishing them according to their qualities and their actions. And though I am the agent of this world, know that I am also the eternal nonagent."
4,14,Actions do not defile me. You will not find any desire in me for the fruits of action. One who understands this about me is not imprisoned by his own actions.
4,15,"Knowing this, the ancient ones performed the actions that they were obliged to do, even as they strove eagerly toward liberation. Therefore, you too should perform all obligatory actions, just like the ancient ones before you!"
4,16,"What is action? What is nonaction? Even the sages were confused about this. I will now explain to you what action is, since knowing this will free you from your misery."
4,17,You should understand what action is and distinguish it from wrong action. And from these you must distinguish nonaction. The path of action is hard to understand!
4,18,"He who is able to see the nonaction within action, and the action within nonaction, is truly full of wisdom among men. He performs all obligatory actions, but he is disciplined in yoga."
4,19,A man whose endeavors are free from the manipulations of desire sacrifices his actions in the fire of knowledge. The wise call him a learned man.
4,20,"Giving up his attachment to the fruits of his actions, always content, dependent on nothing--even when he engages in action, he himself does not really act at all."
4,21,"When he has abandoned hope, and has restrained himself and his thoughts, when he has abandoned all of his possessions, then it is only his body that acts; he does not accumulate guilt."
4,22,"Content with whatever chance brings to him, he has passed beyond duality. He knows no envy. He is even-tempered whether in success or in failure. Even when he does act, he is not imprisoned by his actions!"
4,23,"When a man is unattached and free of all of this, when his thoughts are rooted firmly in knowledge, when he performs his actions in the spirit of sacrifice, his actions are completely dissolved!"
4,24,The offering is this infinite Brahman. The oblation is this infinite Brahman. It is Brahman that pours the oblation into the fire of Brahman. One attains to Brahman by concentrating completely on the action of Brahman! 
4,25,Some yogins engage only in sacrifices to the gods. Others sacrifice symbolically by pouring their oblations into the fire of infinite Brahman
4,26,"Some yogins pour the senses into the fire of self-restraint, withdrawing their hearing and their other senses. Yet others pour sound and the other sense objects into the fire of the senses."
4,27,"And others offer all of the actions of the senses, the actions of the breath and the other actions, into the fire of the yoga of self-control which is ignited by knowledge."
4,28,"Some sacrifice material objects, others practice austerities, and still others practice yoga. Some sacrifice through their knowledge and their study of the Vedas. These are all devout men committed to keeping their sacred vows."
4,29,"Others engage in the practice of breath control by checking the course of the inhaled breath and the exhaled breath. Thus they pour the inhaled breath into the exhaled, and the exhaled breath into the inhaled."
4,30,"Others refrain from eating, instead pouring their breaths into the cosmic breaths.8 All of these people know the meaning of sacrifice. Sacrifice destroys impurities."
4,31,"There are men who eat the remnants of the sacrifice, the nectar of immortality. They go to the eternal Brahman. This world does not belong to the man who does not sacrifice, Arjuna! How then could the next world be his?"
4,32,In this way the many forms of sacrifice are spread out as an offering before Brahman. Know that they are all born from action. Knowing this you will be free!
4,33,"But, Arjuna, the sacrifice of knowledge is higher than the sacrifice of material things. All action without exception culminates in knowledge."
4,34,"Learn this, Arjuna, by submitting humbly to one's teachers, by asking them thoughtful questions, by serving them. They are men of knowledge and they have seen the truth. They will pass their knowledge on to you."
4,35,"When you have learned this, Arjuna, you will never encounter delusion again. By means of this knowledge you will come to see fully that all beings are in yourself and thus in me"
4,36,"Even if you were the most sinful among all sinners, with the help of this ship of knowledge you will cross over all of this sorrow."
4,37,"Just as fire, once it is kindled, reduces the firewood to ashes, in the very same way, Arjuna, the fire of knowledge reduces all of your actions to ashes!"
4,38,You will not find anywhere in this world a means of purification that is the equal of knowledge. A man who has been perfected by yoga in time will find knowledge within himself.
4,39,"A man of faith, intent only upon this knowledge, his senses well restrained, will obtain it, and once he has obtained it, he soon reaches supreme peace."
4,40,"But a man who does not have this knowledge and faith will perish, his soul filled with doubts. And filled with doubts as he is, there will be no joy for him either in this world or the next."
4,41,"Arjuna, actions do not bind the man who renounces his actions through yoga, who severs doubt by means of knowledge, who is in full possession of himself."
4,42,"Therefore, with this sword of knowledge, sever this doubt that rests in your heart, Arjuna, this doubt of yours that arises from ignorance. Stand up, then, and stand upon yoga!"
5,1,"Arjuna spoke: You praise the renunciation of actions, Krsna, and then again you praise yoga as a means of action. Please tell me with all certainty which of these is the better course?"
5,2,"The Blessed One spoke: Renunciation of action and the yoga of action both lead to the highest good, but of the two the yoga of action is better than the renunciation of action."
5,3,"One who does not hate and who does not desire is understood to be a permanent sannyasin. Because he is beyond dualisms, Arjuna, he is easily freed from his bondage."
5,4,It is only the foolish who declare that Sankhya philosophy and yoga discipline are different schools. The learned do not say this. A man who is focused completely on either one will find the fruit of both.
5,5,Practitioners of yoga arrive at the same position that practitioners of Sankhya philosophy reach. Whoever can see that Sankhya and yoga are a single discipline sees truly.
5,6,"But, Arjuna, renunciation is difficult to attain without yogic discipline, whereas a sage who is disciplined in yoga quickly reaches infinite Brahman."
5,7,"Once he becomes disciplined in yoga, the self becomes purified, the self becomes controlled, and his senses become subdued. The self becomes united with the self of all creatures. Whatever he does in this state does not stain him."
5,8,"""I who am not doing anything,"" he should think to himself, the man who is disciplined in yoga, and who knows the true nature of things. Meanwhile, he sees, he hears, he touches, he smells, he eats, he goes, he sleeps, he breathes,"
5,9,"he talks, he relieves himself, he takes with his hands, he opens his eyes, he closes his eyes--but always he holds firm to the thought, ""This is merely the senses interacting with sense objects."""
5,10,"He gives his actions over to infinite Brahman and abandons attachment. When he acts in this way, guilt does not adhere to him, just as water does not adhere to the lotus leaf."
5,11,"Yogins perform actions with body and mind and insight, and with the senses as well, but since they have abandoned attachment, they perform these actions only for the purification of the self."
5,12,The undisciplined man is attached to the fruits of his action and is in bondage to the desire that causes them. But the disciplined man abandons the fruits of his actions and thereby attains abiding peace.
5,13,"In his mind he renounces all actions. The embodied one sits easily, in control, within that city of the nine gates that is his body, neither acting nor causing others to act."
5,14,"The lord does not engender the world's agency or actions or the perpetual union of the world's actions with their fruits. These arise autonomously, out of their own nature."
5,15,The ever-present lord does not take on the effects of anyone's misfortune nor anyone's good fortune. Knowledge of him is obscured by ignorance. All peoples are deluded by it.
5,16,"But whenever this ignorance among men is destroyed by knowledge of the self, then like the sun their knowledge illuminates that supreme realm of Brahman."
5,17,"That is their insight, that is their true self. That is their foundation and their ultimate goal. They reach that state of no return where their sins are dispelled by knowledge."
5,18,"Learned men look upon an educated and cultured Brahmin just as they look upon a cow or an elephant or a dog, or even a low-caste dog-eater."
5,19,"This created world is conquered by those who maintain the mind in equanimity. And indeed for them the world of Brahman is a flawless equilibrium, and as a result they dwell in Brahman."
5,20,"One should not take pleasure in getting what one wants, nor should one reject getting what one does not want. One's insight is steady. One is not confused. One knows Brahman and dwells in it."
5,21,"When one is no longer attached to contact with external objects, one finds pleasure within oneself. The self is disciplined by brahmayoga, and one reaches a pleasure that is imperishable."
5,22,"For the delights that arise from external objects are really wombs of misery. They all have a beginning and an end, Arjuna. A wise man takes no pleasure in them."
5,23,"The man who is able to overcome the agitation that comes with desire and anger, here in this world, before he leaves the body--he is a disciplined man, he is a happy man."
5,24,Such a man contains his pleasure and his joy within himself. His light is within himself and nowhere else. Such a man is a yogin who has become one with Brahman. He has reached the sublime peace of Brahman
5,25,"Seers who destroy their sins, who cut through all doubt, who are masters of themselves, attain this sublime peace of Brahman, delighting in the welfare of all beings."
5,26,"The sublime peace of Brahman is always present for those devoted men who have freed themselves from desire and anger, who have tamed their minds and have come to know themselves."
5,27,The sage shuns external objects and fixes his gaze between the eyebrows. He balances the inhaled breath with the exhaled breath as they pass through the nostrils.
5,28,"His senses, his thoughts, and his insights are all restrained. This sage is committed to his liberation. In him, desire and fear and anger have vanished. He is what he always has been. He is free."
5,29,Know that it is I who am the enjoyer of sacrifices and austerities. It is I who am the great lord of all worlds and the heart's friend of all beings. Know this and find peace.
6,1,The Blessed One spoke: Whoever does not concern himself with the fruits of action and yet performs the actions that he is obliged to do is both a sa nyasin and a yogin. Whoever neglects his ritual fires and his ritual obligations is not. 
